ticker,open,high,low,close,volume,vwap,t,transactions,otc
AAPL,189.37,189.37,189.37,189.37,469.0,189.3682,1701102461000,14,
AAPL,189.375,189.38,189.375,189.38,771.0,189.3787,1701102463000,14,
AAPL,189.385,189.385,189.385,189.385,505.0,189.385,1701102465000,4,
AAPL,189.3874,189.3874,189.3874,189.3874,117.0,189.3875,1701102466000,4,
AAPL,189.3882,189.3882,189.3799,189.3799,1361.0,189.3831,1701102467000,17,
AAPL,189.38,189.38,189.38,189.38,511.0,189.3795,1701102468000,20,
AAPL,189.38,189.38,189.38,189.38,302.0,189.38,1701102469000,4,
AAPL,189.38,189.38,189.38,189.38,214.0,189.3793,1701102470000,2,
AAPL,189.3776,189.3776,189.3776,189.3776,158.0,189.3779,1701102472000,6,
AAPL,189.38,189.38,189.38,189.38,326.0,189.38,1701102473000,9,
AAPL,189.375,189.375,189.375,189.375,101.0,189.375,1701102475000,2,
AAPL,189.38,189.385,189.38,189.385,419.0,189.3824,1701102476000,15,
AAPL,189.3838,189.3838,189.3838,189.3838,227.0,189.3828,1701102480000,5,
AAPL,189.38,189.38,189.375,189.375,1094.0,189.3792,1701102481000,15,
AAPL,189.385,189.385,189.37,189.37,1505.0,189.3712,1701102482000,23,
AAPL,189.379,189.379,189.379,189.379,174.0,189.3758,1701102483000,5,
AAPL,189.3741,189.3741,189.3741,189.3741,220.0,189.3767,1701102484000,7,
AAPL,189.37,189.3702,189.37,189.3702,1078.0,189.3702,1701102485000,21,
AAPL,189.37,189.37,189.37,189.37,208.0,189.3701,1701102486000,7,
AAPL,189.365,189.365,189.365,189.365,220.0,189.3662,1701102487000,6,
AAPL,189.38,189.39,189.38,189.39,2789.0,189.339,1701102490000,28,
AAPL,189.39,189.39,189.39,189.39,1995.0,189.39,1701102491000,24,
AAPL,189.39,189.39,189.39,189.39,130.0,189.3904,1701102492000,4,
AAPL,189.39,189.39,189.39,189.39,763.0,189.3902,1701102493000,20,
AAPL,189.39,189.392,189.39,189.392,1466.0,189.3898,1701102494000,19,
AAPL,189.395,189.395,189.395,189.395,1006.0,189.395,1701102495000,7,
AAPL,189.39,189.39,189.3837,189.3837,1346.0,189.3855,1701102496000,12,
AAPL,189.388,189.388,189.388,189.388,135.0,189.3873,1701102498000,3,
AAPL,189.385,189.385,189.385,189.385,178.0,189.3849,1701102499000,10,
AAPL,189.385,189.39,189.38,189.385,2552.0,189.3824,1701102500000,33,
AAPL,189.385,189.385,189.385,189.385,424.0,189.3851,1701102501000,5,
AAPL,189.385,189.385,189.385,189.385,236.0,189.3857,1701102502000,6,
AAPL,189.385,189.385,189.38,189.38,311.0,189.3834,1701102504000,9,
AAPL,189.39,189.391,189.39,189.391,1111.0,189.3901,1701102505000,12,
AAPL,189.39,189.39,189.39,189.39,295.0,189.3901,1701102506000,7,
AAPL,189.39,189.395,189.39,189.395,1691.0,189.393,1701102507000,5,
AAPL,189.4,189.42,189.4,189.4199,4816.0,189.4088,1701102509000,39,
AAPL,189.4165,189.4165,189.4165,189.4165,555.0,189.4166,1701102510000,6,
AAPL,189.415,189.415,189.415,189.415,311.0,189.415,1701102511000,3,
AAPL,189.4101,189.4101,189.4101,189.4101,141.0,189.4118,1701102512000,8,
AAPL,189.415,189.4184,189.415,189.415,708.0,189.4155,1701102513000,6,
AAPL,189.41,189.41,189.41,189.41,2274.0,189.4104,1701102514000,37,
AAPL,189.405,189.41,189.405,189.41,250.0,189.41,1701102515000,3,
AAPL,189.41,189.41,189.41,189.41,690.0,189.4095,1701102516000,26,
AAPL,189.4,189.4,189.4,189.4,2178.0,189.4001,1701102517000,20,
AAPL,189.4,189.4,189.4,189.4,813.0,189.4001,1701102518000,10,
AAPL,189.41,189.41,189.4087,189.41,619.0,189.4094,1701102519000,14,
AAPL,189.41,189.43,189.405,189.43,2894.0,189.4159,1701102521000,61,
AAPL,189.44,189.45,189.43,189.44,7703.0,189.4409,1701102522000,124,
AAPL,189.44,189.44,189.43,189.4358,1806.0,189.4338,1701102523000,32,
AAPL,189.4301,189.4301,189.4301,189.4301,1130.0,189.4312,1701102524000,7,
AAPL,189.44,189.44,189.43,189.43,3139.0,189.4342,1701102525000,32,
AAPL,189.438,189.438,189.438,189.438,145.0,189.4374,1701102527000,7,
AAPL,189.43,189.43,189.43,189.43,1371.0,189.4281,1701102529000,28,
AAPL,189.43,189.43,189.425,189.43,1256.0,189.4292,1701102530000,25,
AAPL,189.4399,189.4399,189.43,189.43,1281.0,189.4331,1701102531000,17,
AAPL,189.44,189.44,189.43,189.43,1371.0,189.4313,1701102534000,23,
AAPL,189.43,189.43,189.43,189.43,277.0,189.4269,1701102536000,8,
AAPL,189.42,189.44,189.42,189.435,1921.0,189.4337,1701102537000,27,
AAPL,189.44,189.45,189.44,189.45,521.0,189.4436,1701102538000,8,
AAPL,189.45,189.45,189.445,189.445,603.0,189.4467,1701102539000,7,
AAPL,189.44,189.44,189.44,189.44,1773.0,189.4399,1701102540000,11,
