ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"UD:1V: VT 2745420",1712354340000000000,"T",9223372036.854776,"",2745420,1721398215586,1
1712275200000000000,"ESH5 C4650",1742563800000000000,"C",4650.0,"ESH5",42371185,1721398215586,1
1712275200000000000,"ESZ4 P6250",1734705000000000000,"P",6250.0,"ESZ4",42340667,1721398215586,1
1712275200000000000,"ESZ4 P2100",1734705000000000000,"P",2100.0,"ESZ4",329266,1721398215586,1
1712275200000000000,"UD:1V: VT 2518045",1712354340000000000,"T",9223372036.854776,"",2518045,1721398215586,1
1712275200000000000,"ESU4 C6700",1726839000000000000,"C",6700.0,"ESU4",42018163,1721398215586,1
1712275200000000000,"ESZ6 P8500",1797604200000000000,"P",8500.0,"ESZ6",640105,1721398215586,1
1712275200000000000,"ESM4 P5175",1718976600000000000,"P",5175.0,"ESM4",42374272,1721398215586,1
1712275200000000000,"ESZ4 C3800",1734705000000000000,"C",3800.0,"ESZ4",439042,1721398215586,1
1712275200000000000,"UD:1V: GN 2651329",1712347200000000000,"T",9223372036.854776,"",2651329,1721398215586,1
1712275200000000000,"ESZ5 C3000",1766154600000000000,"C",3000.0,"ESZ5",412181,1721398215586,1
1712275200000000000,"ESZ4 C6900",1734705000000000000,"C",6900.0,"ESZ4",42349294,1721398215586,1
1712275200000000000,"ESU4 C1200",1726839000000000000,"C",1200.0,"ESU4",623930,1721398215586,1
1712275200000000000,"ESH5 P5050",1742563800000000000,"P",5050.0,"ESH5",42333569,1721398215586,1
1712275200000000000,"ESU4 C4400",1726839000000000000,"C",4400.0,"ESU4",163710,1721398215586,1
1712275200000000000,"ESZ6 P4800",1797604200000000000,"P",4800.0,"ESZ6",414671,1721398215586,1
1712275200000000000,"ESZ7 P2800",1829053800000000000,"P",2800.0,"ESZ7",285440,1721398215586,1
1712275200000000000,"ESU5 C2000",1758288600000000000,"C",2000.0,"ESU5",42198688,1721398215586,1
1712275200000000000,"ESM4 C4700",1718976600000000000,"C",4700.0,"ESM4",730949,1721398215586,1
1712275200000000000,"ESH6 P5200",1774013400000000000,"P",5200.0,"ESH6",42430452,1721398215586,1
